Types of schools,STRs,,
,2015,2020,
Sri Lanka,18.0,16.3,
Colombo,22.0,20.0,
Gampaha,22.0,20.8,
Kalutara,20.0,19.3,
Kandy ,16.0,15.5,
Matale,15.0,15.5,
Nuwara Eliya,16.0,15.1,
Galle,20.0,17.4,
Matara,16.0,15.5,
Hambantota,17.0,16.2,
Jaffna,15.0,11.0,
Mannar,14.0,12.5,
Vavuniya,14.0,12.1,
Mullativu,16.0,12.8,
Killinochchi,18.0,14.4,
Batticaloa,19.0,16.1,
Ampara,18.0,15.2,
Trincomalee,19.0,16.4,
Kurunegala,17.0,16.2,
Puttalam,22.0,18.4,
Anuradhapura,16.0,16.9,
Polonnaruwa,18.0,17.8,
Badulla,14.0,12.8,
Moneragala,16.0,16.0,
Rathnapura,17.0,16.2,
Kegalle,15.0,13.6,
,,,
