District,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11-1st,Grade 11 repeaters,Grade 12,Grade 13,Special education,Total,Total_Teachers,Male_Teachers,Male_Percentage,Female_Teachers,Female_Percentage,STR_2015,STR_2020,Sex,OL_Sat_2015,OL_Passed_2015,OL_Percent_2015,OL_Sat_2019,OL_Passed_2019,OL_Percent_2019,Gender,AL_Sat_2015,AL_Eligible_2015,AL_Percent_2015,AL_Sat_2020,AL_Eligible_2020,AL_Percent_2020
colombo,"24,687","25,994","25,909","26,786","26,496","29,775","31,491","30,949","30,785","30,357","29,753",131,"23,250","21,724",340,"358,427","22,206","3,772",17.0,"18,434",83.0,22,20.0,Both sex,"32,252","23,980",74.4,"36,170","27,692",76.6,Both sex,"25,913","16,502",63.7,"32,151","21,297",66.2
gampaha,"26,351","27,392","27,587","28,112","27,292","28,203","29,766","29,287","28,786","28,388","27,606",50,"19,202","18,135",512,"346,669","19,151","3,471",18.1,"15,680",81.9,22,20.8,Both sex,"27,945","19,043",68.1,"31,915","23,125",72.5,Both sex,"19,194","11,994",62.5,"25,881","16,656",64.4
kalutara,"17,474","18,217","17,961","18,228","17,624","17,852","19,059","18,865","18,667","18,055","16,899",376,"11,871","11,290",343,"222,781","12,605","2,186",17.3,"10,419",82.7,20,19.3,Both sex,"16,067","11,000",68.5,"18,599","13,182",70.9,Both sex,"11,414","7,020",61.5,"15,560","10,016",64.4
kandy,"21,730","22,991","21,844","21,822","21,767","22,131","22,917","22,654","22,066","21,552","21,385",270,"16,175","15,191",442,"274,937","19,320","4,053",21.0,"15,267",79.0,16,15.5,Both sex,"20,355","13,739",67.5,"24,084","17,166",71.3,Both sex,"15,413","9,374",60.8,"20,795","12,733",61.2
matale,"8,557","8,739","9,002","8,734","8,326","8,264","8,624","8,313","8,036","7,757","7,839",103,"5,540","4,968",181,"102,983","6,943","1,653",23.8,"5,290",76.2,15,15.5,Both sex,"6,950","4,376",63.0,"8,239","5,640",68.5,Both sex,"4,799","2,948",61.4,"6,792","4,340",63.9
nuwara eliya,"12,520","13,844","13,722","13,287","12,904","13,263","13,584","13,868","13,807","12,764","11,918",278,"7,365","6,672",257,"160,053","10,798","3,182",29.5,"7,616",70.5,16,15.1,Both sex,"10,252","6,019",58.7,"12,448","7,761",62.3,Both sex,"5,834","3,645",62.5,"8,331","5,156",61.9
galle,"16,610","17,081","17,132","17,349","16,659","17,599","18,689","18,433","18,535","17,269","16,870",175,"12,080","11,329",329,"216,139","13,064","2,990",22.9,"10,074",77.1,20,17.4,Both sex,"15,701","11,333",72.2,"16,859","12,592",74.7,Both sex,"12,731","7,733",60.7,"15,789","10,488",66.4
matara,"12,593","13,020","13,364","13,281","12,890","13,028","13,827","13,866","13,645","13,059","12,039",345,"9,232","8,579",343,"163,111","11,426","2,642",23.1,"8,784",76.9,16,15.5,Both sex,"12,000","8,858",73.8,"12,886","9,939",77.1,Both sex,"9,992","6,398",64.0,"12,647","8,349",66.0
hambantota,"11,817","11,745","11,764","11,639","10,986","11,109","11,549","11,076","10,941","10,504","10,021",381,"7,413","6,959",243,"138,147","8,907","2,329",26.1,"6,578",73.9,17,16.2,Both sex,"8,885","6,544",73.7,"10,029","7,908",78.9,Both sex,"7,222","4,537",62.8,"9,496","5,780",60.9
jaffna,"7,689","8,576","7,928","8,375","7,952","7,681","8,020","8,641","9,099","8,876","8,522","1,111","5,403","5,230",309,"103,412","9,819","2,998",30.5,"6,821",69.5,15,11.0,Both sex,"10,694","6,308",59.0,"9,278","6,049",65.2,Both sex,"7,346","4,872",66.3,"7,927","5,148",64.9
